Country_id,Continent_id
1,1
2,2
3,3
4,4
5,5
6,2
7,4
8,6
9,2
9,1
10,7
11,5
12,2
13,6
14,1
15,1
16,2
16,1
17,6
18,2
19,6
20,1
21,7
22,2
23,4
24,3
25,7
26,6
27,1
28,5
29,6
30,1
31,2
32,1
33,4
34,2
35,1
36,4
37,6
38,4
39,6
40,4
41,1
42,4
43,7
44,1
45,1
46,1
47,1
48,7
49,4
50,4
51,4
52,4
53,5
54,6
55,2
56,6
57,2
57,1
58,2
59,4
60,2
61,6
62,6
63,7
64,6
65,4
66,4
67,4
68,2
69,2
70,7
71,3
72,5
73,2
74,2
75,2
76,7
77,5
78,3
79,4
80,4
81,2
81,1
82,4
83,1
84,2
85,4
86,2
87,5
88,2
89,6
90,6
91,6
92,5
93,6
94,4
95,7
96,6
97,3
98,2
99,6
100,1
101,2
102,2
103,1
104,1
105,1
106,1
107,2
108,1
109,2
110,4
111,6
112,1
113,2
113,1
114,1
115,4
116,1
117,1
118,1
119,1
120,1
121,1
122,4
123,2
124,4
125,4
126,2
127,2
128,2
129,1
130,4
131,4
132,1
133,1
134,4
135,2
136,6
137,4
138,4
139,6
140,2
141,1
142,2
143,2
144,6
145,4
146,4
147,1
148,4
149,5
150,1
151,2
152,6
153,6
154,6
155,6
156,6
157,5
158,5
159,5
160,6
161,4
162,4
163,5
164,5
165,2
166,5
167,5
167,6
168,5
169,5
170,5
171,1
172,6
173,5
174,7
175,7
176,1
177,5
178,2
179,2
180,4
181,1
182,6
183,1
184,4
185,2
186,2
186,1
187,4
188,6
189,4
190,6
191,6
192,6
193,6
194,6
195,6
196,2
197,4
198,1
199,4
200,2
201,4
202,4
203,1
204,2
205,1
206,2
207,4
208,4
209,4
210,2
211,4
212,4
213,4
214,7
215,2
216,4
217,2
218,2
219,1
220,1
221,1
222,4
223,5
224,5
225,6
226,1
227,4
228,2
228,1
229,1
230,6
231,5
232,4
233,2
234,2
235,4
236,2
237,2
238,2
239,2
240,4
241,6
242,6
243,4
244,7
245,1
246,7
247,5
248,5
249,1
250,4
251,5
252,1
253,1
254,1
